Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
154,Zaccharie Risacher,19,ATL,SF,75,73,24.cze,04.sie,10.kwi,0.458,01.cze,04.cze,0.355,03.sty,05.sie,0.54,0.537,01.kwi,2.0,0.711,01.sty,02.kwi,03.cze,01.lut,0.7,0.5,01.lut,2.0,12.cze,ROY-2
155,Santi Aldama,24,MEM,PF,65,16,25.maj,04.sie,10.0,0.483,01.sie,5.0,0.368,3.0,5.0,0.599,0.576,1.0,01.kwi,0.691,01.kwi,5.0,06.kwi,02.wrz,0.8,0.4,01.sty,01.lut,12.maj,
156,Ty Jerome,27,CLE,SG,70,3,19.wrz,04.cze,08.sie,0.516,01.cze,03.cze,0.439,3.0,05.lut,0.57,0.606,01.sie,02.sty,0.872,0.7,01.sie,02.maj,03.kwi,01.sty,0.0,01.mar,01.maj,12.maj,6MOY-3
157,Keegan Murray,24,SAC,PF,76,76,34.3,04.sie,10.sie,0.444,2.0,05.wrz,0.343,02.sie,04.wrz,0.566,0.538,0.8,0.9,0.833,01.wrz,04.sie,06.lip,01.kwi,0.8,0.9,0.8,02.kwi,12.kwi,
158,Lonnie Walker IV,26,PHI,SG,20,7,23.wrz,04.maj,10.cze,0.42,02.mar,06.kwi,0.354,02.lut,04.mar,0.518,0.526,01.lut,01.maj,0.8,0.3,02.wrz,03.lut,02.maj,0.5,0.3,01.mar,01.kwi,12.kwi,
159,Harrison Barnes,32,SAS,PF,82,82,27.lut,04.lut,08.mar,0.508,01.wrz,04.kwi,0.433,02.mar,03.wrz,0.591,0.622,2.0,02.kwi,0.809,01.lut,02.cze,03.sie,01.lip,0.5,0.2,0.6,0.9,12.mar,
160,Bilal Coulibaly,20,WAS,SF,59,59,33.0,04.maj,10.cze,0.421,01.sty,03.sie,0.281,03.kwi,06.sie,0.5,0.472,02.mar,03.sty,0.746,01.maj,03.kwi,5.0,03.kwi,01.mar,0.7,02.sty,02.kwi,12.mar,
161,Ayo Dosunmu,25,CHI,SG,46,26,30.mar,04.sie,09.sie,0.492,01.mar,04.sty,0.328,03.maj,05.lip,0.612,0.561,01.mar,01.lip,0.785,0.6,02.wrz,03.maj,04.maj,0.9,0.4,01.maj,02.mar,12.mar,
162,Daniel Gafford,26,DAL,C,57,31,21.maj,5.0,07.sty,0.702,0.0,0.0,,5.0,07.sty,0.702,0.702,02.kwi,03.kwi,0.689,02.lip,04.sty,06.sie,01.kwi,0.4,01.sie,01.lut,02.lip,12.mar,
163,Jaden McDaniels,24,MIN,PF,82,82,31.9,04.wrz,10.lut,0.477,01.lut,03.lip,0.33,03.cze,06.maj,0.561,0.537,01.mar,01.cze,0.813,01.cze,04.lut,05.lip,2.0,01.mar,0.9,01.lut,02.lip,12.lut,
